host_timestamp,elapsed_seconds,voltage_v,raw_response,query_elapsed_ms
2026-08-25T15:51:45.992+09:00,0.062000,4.38520027e-07,+4.38520027E-07,10.120
2026-08-25T15:51:46.238+09:00,0.312000,4.38520027e-07,+4.38520027E-07,10.635
2026-08-25T15:51:46.484+09:00,0.547000,4.32165189e-07,+4.32165189E-07,11.068
2026-08-25T15:51:46.754+09:00,0.828000,4.27222538e-07,+4.27222538E-07,10.842
2026-08-25T15:51:47.007+09:00,1.078000,4.27222538e-07,+4.27222538E-07,11.174
2026-08-25T15:51:47.247+09:00,1.312000,4.36099037e-07,+4.36099037E-07,10.036
2026-08-25T15:51:47.521+09:00,1.594000,4.36099037e-07,+4.36099037E-07,10.899
2026-08-25T15:51:47.762+09:00,1.828000,4.31660739e-07,+4.31660739E-07,10.064
2026-08-25T15:51:48.046+09:00,2.109000,4.4154604e-07,+4.41546040E-07,11.037
2026-08-25T15:51:48.307+09:00,2.375000,4.4154604e-07,+4.41546040E-07,10.239
2026-08-25T15:51:48.554+09:00,2.625000,4.44673023e-07,+4.44673023E-07,9.966
2026-08-25T15:51:48.802+09:00,2.875000,4.44673023e-07,+4.44673023E-07,10.812
2026-08-25T15:51:49.054+09:00,3.125000,4.39629502e-07,+4.39629502E-07,10.356
2026-08-25T15:51:49.313+09:00,3.375000,4.40940817e-07,+4.40940817E-07,11.560
2026-08-25T15:51:49.587+09:00,3.656000,4.40940817e-07,+4.40940817E-07,11.108
