host_timestamp,elapsed_seconds,voltage_v,raw_response,query_elapsed_ms
2026-08-25T15:29:33.597+09:00,0.000000,1.18695865e-07,+1.18695865E-07,0.043
2026-08-25T15:29:33.852+09:00,0.265000,1.31488908e-07,+1.31488908E-07,0.029
2026-08-25T15:29:34.103+09:00,0.515000,1.25291777e-07,+1.25291777E-07,0.027
2026-08-25T15:29:34.354+09:00,0.765000,1.30609166e-07,+1.30609166E-07,0.046
2026-08-25T15:29:34.604+09:00,1.015000,1.38050778e-07,+1.38050778E-07,0.021
2026-08-25T15:29:34.855+09:00,1.265000,1.34736766e-07,+1.34736766E-07,0.043
2026-08-25T15:29:35.107+09:00,1.515000,1.42150272e-07,+1.42150272E-07,0.054
2026-08-25T15:29:35.359+09:00,1.765000,1.39812911e-07,+1.39812911E-07,0.023
2026-08-25T15:29:35.612+09:00,2.015000,1.40986421e-07,+1.40986421E-07,0.052
2026-08-25T15:29:35.864+09:00,2.265000,1.48569494e-07,+1.48569494E-07,0.059
2026-08-25T15:29:36.118+09:00,2.531000,1.42043755e-07,+1.42043755E-07,0.027
2026-08-25T15:29:36.383+09:00,2.797000,1.5949404e-07,+1.59494040E-07,0.043
2026-08-25T15:29:36.634+09:00,3.047000,1.50906522e-07,+1.50906522E-07,0.037
2026-08-25T15:29:36.886+09:00,3.297000,1.56887685e-07,+1.56887685E-07,0.047
2026-08-25T15:29:37.138+09:00,3.547000,1.60151779e-07,+1.60151779E-07,0.025
2026-08-25T15:29:37.389+09:00,3.797000,1.61485176e-07,+1.61485176E-07,0.048
2026-08-25T15:29:37.639+09:00,4.047000,1.61503605e-07,+1.61503605E-07,0.028
2026-08-25T15:29:37.892+09:00,4.297000,1.62251928e-07,+1.62251928E-07,0.029
2026-08-25T15:29:38.143+09:00,4.547000,1.60700451e-07,+1.60700451E-07,0.028
2026-08-25T15:29:38.396+09:00,4.797000,1.64443819e-07,+1.64443819E-07,0.049
2026-08-25T15:29:38.647+09:00,5.047000,1.58495466e-07,+1.58495466E-07,0.052
2026-08-25T15:29:38.900+09:00,5.312000,1.55123199e-07,+1.55123199E-07,0.030
2026-08-25T15:29:39.152+09:00,5.562000,1.56562653e-07,+1.56562653E-07,0.023
2026-08-25T15:29:39.404+09:00,5.812000,1.53560888e-07,+1.53560888E-07,0.036
2026-08-25T15:29:39.656+09:00,6.062000,1.48525203e-07,+1.48525203E-07,0.051
2026-08-25T15:29:39.908+09:00,6.312000,1.47259902e-07,+1.47259902E-07,0.038
2026-08-25T15:29:40.159+09:00,6.562000,1.50049947e-07,+1.50049947E-07,0.033
2026-08-25T15:29:40.410+09:00,6.812000,1.48363045e-07,+1.48363045E-07,0.022
2026-08-25T15:29:40.676+09:00,7.078000,1.51929271e-07,+1.51929271E-07,0.027
2026-08-25T15:29:40.929+09:00,7.328000,1.51952392e-07,+1.51952392E-07,0.027
2026-08-25T15:29:41.180+09:00,7.594000,1.32493346e-07,+1.32493346E-07,0.028
2026-08-25T15:29:41.430+09:00,7.844000,1.36635796e-07,+1.36635796E-07,0.023
2026-08-25T15:29:41.682+09:00,8.094000,1.31698982e-07,+1.31698982E-07,0.026
2026-08-25T15:29:41.934+09:00,8.344000,1.32472604e-07,+1.32472604E-07,0.017
2026-08-25T15:29:42.186+09:00,8.594000,1.33443728e-07,+1.33443728E-07,0.022
2026-08-25T15:29:42.450+09:00,8.859000,1.3476562e-07,+1.34765620E-07,0.030
2026-08-25T15:29:42.703+09:00,9.109000,1.26183276e-07,+1.26183276E-07,0.058
2026-08-25T15:29:42.955+09:00,9.359000,1.31163453e-07,+1.31163453E-07,0.022
2026-08-25T15:29:43.209+09:00,9.609000,1.24216685e-07,+1.24216685E-07,0.022
2026-08-25T15:29:43.460+09:00,9.859000,1.14130761e-07,+1.14130761E-07,0.047
2026-08-25T15:29:43.713+09:00,10.125000,1.08406198e-07,+1.08406198E-07,0.025
